busStopId,stopNameKorean,stopNameRomanized,stopNameTranslated,StopNameNaver
PHB350086084,자명1리,Ja-myeong-1-li,Jamyeong 1-ri,Jamyeong 1 Ri
PHB350086085,자명LPG충전소,Ja-myeong-l-p-g-chung-jeon-so,Jamyeong LPG Charging Station,Jamyeong LPG Station
PHB350086087,중명2리,Jung-myeong-2-li,Jungmyeong 2-ri,Jungmyeong 2 Ri
PHB350086088,중단2리,Jung-dan-2-li,Jungdan 2-ri,Jungdan 2 Ri
PHB350086090,청솔1차,Cheong-sol-1-cha,Cheongsol #1 Apartment,Cheongsol #1
PHB350086091,청솔1차,Cheong-sol-1-cha,Cheongsol #1 Apartment,Cheongsol #1
PHB350086092,청솔2차,Cheong-sol-2-cha,Cheongsol #2 Apartment,Cheongsol #2
PHB350086093,동해주유소,Dong-hae-ju-yu-so,Donghae Gas Station,Donghae Gas Station
PHB350086096,택전삼거리,Taeg-jeon-sam-geo-li,Taekjeon Three-way Intersection,Taekjeon Three Way Intersection
PHB350086098,택전2리,Taeg-jeon-2-li,Taekjeon 2-ri,Taekjeon 2 Ri
PHB350086102,학전교,Hag-jeon-gyo,Hakjeon Bridge,Hakjeongyo
PHB350086103,학전리,Hag-jeon-li,Hakjeon-ri,Hakjeolli
PHB350086104,자명1리,Ja-myeong-1-li,Jamyeong 1-ri,Jamyeong 1 Ri
PHB350086109,중단2리,Jung-dan-2-li,Jungdan 2-ri,Jungdan 2 Ri
PHB350086112,유강1리,Yu-gang-1-li,Yugang 1-ri,Yugang 1 Ri
PHB350086113,자명LPG충전소,Ja-myeong-l-p-g-chung-jeon-so,Jamyeong LPG Charging Station,Jamyeong LPG Station
PHB350086114,자명2리,Ja-myeong-2-li,Jamyeong 2-ri,Jamyeong 2 Ri
PHB350086115,자명초등학교,Ja-myeong-cho-deung-hag-gyo,Jamyeong Elementary School,Jamyeong Elementary School
PHB350086116,학전리,Hag-jeon-li,Hakjeon-ri,Hakjeolli
PHB350086117,학전교,Hag-jeon-gyo,Hakjeon Bridge,Hakjeongyo
PHB350086118,자명식당,Ja-myeong-sig-dang,Jamyeong Restaurant,Jamyeong Restaurant
PHB350086120,송학,Song-hag,Songhak,Songhak
PHB350086130,송학,Song-hag,Songhak,Songhak
PHB350086131,달전리,Dal-jeon-li,Daljeon-ri,Daljeonlli
PHB350086132,진세미골,Jin-se-mi-gol,Jinsemi-gol,Jinsemi Gol
PHB350086133,삼도한솔타운,Sam-do-han-sol-ta-un,Samdo Hansol Town,Samdo Hansol Town
PHB350086134,삼도한솔타운,Sam-do-han-sol-ta-un,Samdo Hansol Town,Samdo Hansol Town
PHB350086135,중명1리,Jung-myeong-1-li,Jungmyeong 1-ri,Jungmyeong 1 Ri
PHB350086136,대림한숲타운(상),Dae-lim-han-sup-ta-un(sang),Daelim Hansoop Town(Northbound),Daerim Han Sup Town(Northbound)
PHB350086137,유강초등학교(상),Yu-gang-cho-deung-hag-gyo(sang),Yugang Elementary School(Northbound),Yugang Elementary School(Northbound)
PHB350086140,유강터널출구,Yu-gang-teo-neol-chul-gu,Yugang Tunnel Exit,River Tunnel Exit
PHB350086142,유강정수장인근,Yu-gang-jeong-su-jang-in-geun,Yugang Water Treatment Plant,Yugang Purification Plant Ingeun
PHB350086143,유강고가,Yu-gang-go-ga,Yugang Overpass,
PHB350086144,자명방면,Ja-myeong-bang-myeon,Jamyeong Direction,a self-evident aspect
PHB350087001,문덕사거리,Mun-deog-sa-geo-li,Mundeok Intersection,Mundeok Sageori
PHB350087002,준양주택3차,Jun-yang-ju-taeg-3-cha,Junyang Housing #3 Complex,Junyang House #3
PHB350087003,국민빌라,Gug-min-bil-la,Gungmin Villa,Gungmin Villa
PHB350087004,문덕1리,Mun-deog-1-li,Mundeok 1-ri,Mundeok 1 Ri
PHB350087005,화이트빌라,Hwa-i-teu-bil-la,White Villa,White Villa
PHB350087006,문덕교,Mun-deog-gyo,Mundeok Bridge,Mundeokgyo
PHB350087007,문덕교,Mun-deog-gyo,Mundeok Bridge,Mundeokgyo
PHB350087008,화이트빌라,Hwa-i-teu-bil-la,White Villa,White Villa
PHB350087009,문덕1리,Mun-deog-1-li,Mundeok 1-ri,Mundeok 1 Ri
PHB350087010,국민빌라,Gug-min-bil-la,Gungmin Villa,Gungmin Villa
PHB350087011,준양주택3차,Jun-yang-ju-taeg-3-cha,Junyang Housing #3 Complex,Junyang House #3
PHB350087012,문덕사거리,Mun-deog-sa-geo-li,Mundeok Intersection,Mundeok Sageori
PHB350087014,구정리,Gu-jeong-li,Gujeong-ri,Gujeong-ri
PHB350087015,구정1리,Gu-jeong-1-li,Gujeong 1-ri,
PHB350087016,구정3리,Gu-jeong-3-li,Gujeong 3-ri,Gujeong 3 Ri
PHB350087017,해병대서문,Hae-byeong-dae-seo-mun,West Gate of Marine Corps,Marine Corps Seomun
PHB350087018,용덕사거리,Yong-deog-sa-geo-li,Yongdeok Intersection,Yongdeok Sageori
PHB350087019,오천초등학교,O-cheon-cho-deung-hag-gyo,Ocheon Elementary School,Ocheon Elementary School
PHB350087020,오천농협세계지점,O-cheon-nong-hyeob-se-gye-ji-jeom,Ocheon Nonghyup Segye Branch,Ocheon Nonghyup Segye Branch
PHB350087021,오천시장,O-cheon-si-jang,Ocheon Market,Ocheon Market
PHB350087024,문덕초등학교,Mun-deog-cho-deung-hag-gyo,Mundeok Elementary School,Mundeok Elementary School
PHB350087025,오천읍행정복지센터,O-cheon-eub-haeng-jeong-bog-ji-sen-teo,Ocheon Administrative Welfare Center,
PHB350087026,오천환승센터,O-cheon-hwan-seung-sen-teo,Ocheon Transfer Center,Ocheon Transfer Center
PHB350087027,오천농협세계지점,O-cheon-nong-hyeob-se-gye-ji-jeom,Ocheon Nonghyup Segye Branch,Ocheon Nonghyup Segye Branch
PHB350087028,오천초등학교,O-cheon-cho-deung-hag-gyo,Ocheon Elementary School,Ocheon Elementary School
PHB350087029,용덕사거리,Yong-deog-sa-geo-li,Yongdeok Intersection,Yongdeok Sageori
PHB350087030,해병대서문,Hae-byeong-dae-seo-mun,West Gate of Marine Corps,Marine Corps Seomun
PHB350087031,구정3리,Gu-jeong-3-li,Gujeong 3-ri,Gujeong 3 Ri
PHB350087032,구정1리,Gu-jeong-1-li,Gujeong 1-ri,
PHB350087033,구정리,Gu-jeong-li,Gujeong-ri,Gujeong-ri
PHB350087034,세계2리,Se-gye-2-li,Segye 2-ri,Segye 2 Ri
PHB350087035,세계2리,Se-gye-2-li,Segye 2-ri,Segye 2 Ri
PHB350087036,일월문화공원,Il-wol-mun-hwa-gong-won,Ilwol Cultural Park,
PHB350087037,일월문화공원,Il-wol-mun-hwa-gong-won,Ilwol Cultural Park,
PHB350087038,해병대교육훈련단,Hae-byeong-dae-gyo-yug-hun-lyeon-dan,Marine Corps Training Center,Marine Corps Education Hullyeondan
PHB350087039,해병대교육훈련단,Hae-byeong-dae-gyo-yug-hun-lyeon-dan,Marine Corps Training Center,Marine Corps Education Hullyeondan
PHB350087040,신흥중학교,Sin-heung-jung-hag-gyo,Sinheung Middle School,Sinheung Middle School
PHB350087041,신흥중학교,Sin-heung-jung-hag-gyo,Sinheung Middle School,Sinheung Middle School
PHB350087042,오천시장,O-cheon-si-jang,Ocheon Market,Ocheon Market
PHB350087044,오천읍행정복지센터,O-cheon-eub-haeng-jeong-bog-ji-sen-teo,Ocheon Administrative Welfare Center,
PHB350087045,운전면허시험장,Un-jeon-myeon-heo-si-heom-jang,Driver's License Examination Center,Drivers License Test Center
PHB350087046,오천읍민운동장,O-cheon-eub-min-un-dong-jang,Ocheon-eup Sports Field,Ocheon Residents Field
PHB350087047,오천읍행정복지센터,O-cheon-eub-haeng-jeong-bog-ji-sen-teo,Ocheon Administrative Welfare Center,
PHB350087048,준양참마을,Jun-yang-cham-ma-eul,Junyang Chammaeul Apartment,Junyangcham Village
PHB350087049,신흥중학교,Sin-heung-jung-hag-gyo,Sinheung Middle School,Sinheung Middle School
PHB350087051,오천환승센터(마을),O-cheon-hwan-seung-sen-teo(ma-eul),Ocheon Transfer Center(village),Ocheon Transfer Center
PHB350087054,준양참마을,Jun-yang-cham-ma-eul,Junyang Chammaeul Apartment,Junyangcham Village
PHB350087063,천마아파트,Cheon-ma-a-pa-teu,Cheonma Apartment,Cheonma Apartment
PHB350087064,용산2리,Yong-san-2-li,Yongsan 2-ri,Yongsan 2 Ri
PHB350087065,용산1리,Yong-san-1-li,Yongsan 1-ri,Yongsan 1 Ri
PHB350087067,문충삼거리,Mun-chung-sam-geo-li,Munchung Three-way Intersection,
PHB350087068,문충2리,Mun-chung-2-li,Munchung 2-ri,Munchung 2 Ri
PHB350087069,오어사,O-eo-sa,Oeosa Temple,
PHB350087070,문충1리,Mun-chung-1-li,Munchung 1-ri,Moonchung 1-ri
PHB350087072,원각사,Won-gag-sa,Wongaksa Temple,Wongaksa Temple
PHB350087077,문덕온천,Mun-deog-on-cheon,Mundeok Hot Springs,Mundeok Oncheon
PHB350087078,문덕온천,Mun-deog-on-cheon,Mundeok Hot Springs,Mundeok Oncheon
PHB350087079,문덕초등학교,Mun-deog-cho-deung-hag-gyo,Mundeok Elementary School,Mundeok Elementary School
PHB350087080,오천읍민운동장,O-cheon-eub-min-un-dong-jang,Ocheon-eup Sports Field,Ocheon Residents Field
PHB350087081,갈평리,Gal-pyeong-li,Galpyeong-ri,Galpyeongni
PHB350087082,갈평리,Gal-pyeong-li,Galpyeong-ri,Galpyeongni
PHB350087085,천마아파트,Cheon-ma-a-pa-teu,Cheonma Apartment,Cheonma Apartment
PHB350087086,용산1리,Yong-san-1-li,Yongsan 1-ri,Yongsan 1 Ri
PHB350087088,용산아파트,Yong-san-a-pa-teu,Yongsan Apartment,Yongsan Apartment
PHB350087089,용산아파트,Yong-san-a-pa-teu,Yongsan Apartment,Yongsan Apartment
PHB350087090,문충1리,Mun-chung-1-li,Munchung 1-ri,Moonchung 1-ri
PHB350087092,원각사,Won-gag-sa,Wongaksa Temple,Wongaksa Temple
PHB350087096,용산2리,Yong-san-2-li,Yongsan 2-ri,Yongsan 2 Ri
PHB350087105,청호하이츠,Cheong-ho-ha-i-cheu,Cheongho Heights Apartment,Cheongho Heights
PHB350087106,문덕3리,Mun-deog-3-li,Mundeok 3-ri,Mundeok 3 Ri
PHB350087107,문덕3리,Mun-deog-3-li,Mundeok 3-ri,Mundeok 3 Ri
PHB350087109,문충2리,Mun-chung-2-li,Munchung 2-ri,Munchung 2 Ri
PHB350087115,안항사,An-hang-sa,Anhangsa Temple,Anhangsa
PHB350087116,안항사,An-hang-sa,Anhangsa Temple,Anhangsa
PHB350087118,진전리,Jin-jeon-li,Jinjeon-ri,Jinjeolli
PHB350087124,청호하이츠,Cheong-ho-ha-i-cheu,Cheongho Heights Apartment,Cheongho Heights
PHB350087126,문충삼거리,Mun-chung-sam-geo-li,Munchung Three-way Intersection,
PHB350087132,동국SC2공장,Dong-gug-SC2-gong-jang,Dongkuk SC2 Factory,Dongkuk SC2 Factory
PHB350087134,제1근린공원,Je-1-geun-lin-gong-won,1st Neighborhood Park,the First Neighborhood Park
PHB350087152,서희스타힐스,Seo-hui-seu-ta-hil-seu,Seohee Starhills Apartment,Seohee Starhills Apartment
PHB350087153,서희스타힐스,Seo-hui-seu-ta-hil-seu,Seohee Starhills Apartment,Seohee Starhills Apartment
PHB350087154,세계5리,Se-gye-5-li,Segye 5-ri,Segye 5 Ri
PHB350087155,세계5리,Se-gye-5-li,Segye 5-ri,Segye 5 Ri
PHB350087156,광명리,Gwang-myeong-li,Gwangmyeong-ri,Gwangmyeongni
PHB350087157,해병교,Hae-byeong-gyo,Marine Corps Bridge,Haebyeonggyo
PHB350087158,해병대교육훈련단,Hae-byeong-dae-gyo-yug-hun-lyeon-dan,Marine Corps Training Center,Marine Corps Education Hullyeondan
PHB350087159,세계리,Se-gye-li,Segye-ri,Segyeri
PHB350087160,세계교,Se-gye-gyo,Segye Bridge,Segyegyo
PHB350087164,운전면허시험장,Un-jeon-myeon-heo-si-heom-jang,Driver's License Examination Center,Drivers License Test Center
PHB350087165,문덕2리,Mun-deog-2-li,Mundeok 2-ri,Mundeok 2 Ri
